Abroad,Overseas
Accord,Agreement
Admit,Confess
Agree,Consent
Answer,Respond
Awful,Terrible
Ask,Enquire
Attractive,Appealing
Accomplish,Achieve
Annoy,Bother
Alike,Same
Assist,Help
Angry,Upset
Allow,Permit
Accurate,Precise
Afraid,Scared
Able,Capable
Ask,Demand
Beginner,Novice
Big,Large
Blend,Mix
Brave,Heroic
Baby,Infant
Beautiful,Pretty
Beg,Implore
Blank,Empty
Broad,Wide
Blunt,Dull
Change,Transform
Close,Shut
Correct,Right
Centre,Middle
Coarse,Rough
Child,Kid
Choose,Select
Complete,Finish
Cold,Chilly
Delicate,Fragile
Delicious,Yummy
Depart,Leave
Difficult,Hard
Eager,Keen
Inquire,Investigate
Evil,Bad
Exit,Leave
End,Finish
Enormous,Huge
Enjoyment,Fun
Excellent,First class
Embarrased,Shy
Easy,Simple
FALSE,Untrue
Fantastic,Great
Fast,Quick
Finish,Complete
Funny,Amusing
Fool,Idiot
Forbid,Prohibit
Father,Dad
Fall,Drop
Fix,Repair
Freedom,Liberty
Glad,Happy
Good,Fine
Garbage,Trash
Gather,Collect
Gentle,Tender
Help,Assist
Huge,Enormous
Happy,Glad
House,Home
ILL,Sick
Impartial,Neutral
Important,Necessary
Infamous,Notorious
Inspect,Examine
Intelligent,Smart
Interesting,Exciting
Jealous,Envious
Joy,Delight
Job,Occupation
Kind,Helpful
Listen,Hear
Loving,Fond
Laugh,Giggle
Last,Final
Learn,Study
Like,Prefer
Mother,Mum
Maybe,Perhaps
Misery,Distress
Mad,Crazy
Native,Local
Near,Close
New,Recent
Odd,Strange
Occur,Happen
Old,Ancient
Opportunity,Chance
Part,Section
Provide,Supply
Present,Gift
Page,Sheet
Perform,Carry Out
Particular,Specific
Push,Shove
Raise,Lift
Receive,Get
Renew,Resume
Rock,Stone
Reject,Deny
Rest,Relax
Rich,Wealthy
Round,Circular
Rug,Carpet
Respond,Reply
Respect,Honor
See,Look
Sad,Unhappy
Scared,Afraid
Split,Divide
Sincere,Honest
Slim,Thin
Small,Tiny
Smart,Clever
Sure,Certain
Simple,Easy
Spooky,Scary
Sprint,Run
Silent,Quiet
Sniff,Smell
Stone,Rock
See,Look
Tiny,Small
Taxi,Cab
Trust,Believe
Thought,Idea
Talk,Speak
Toss,Throw
Tired,Exhausted
Temper,Mood
Unfortunate,Unlucky
Unmarried,Single
Mistake,Error
Want,Desire
Wonderful,Amazing
Write,Record
Writer,Author
Wrong,Incorrect
Value,Worth
Winner,Victor
Thankful,Greatful
Infant,Baby
Woman,Lady
Assure,Guarantee
Connect,Join
Try,Attempt
Below,Under
Blank,Empty
Suggest,Propose
Extra,Additional
Capture,Seize
Clarify,Simplify
Complex,Complicated
Cry,Weep
Barren,Unproductive
Beneficial,Helpful
Best,Perfect
Total,Whole
Ravage,Damage
Raze,Destroy
Reveal,Show
Reluctant,Unwilling
Remote,Isolated
Repulsive,Hideous
Successful,Prosperous
Obey,Heed
Open,Unfold
Observe,Examine
Optimistic,Hopeful
Ordinary,Common
Prompt,Punctual
Peculiar,Weird
Perpetual,Eternal
Pliable,Flexible
Negligent,Careless
Nervous,Anxious
Numerous,Several
Virtuous,Moral
Vicious,Brutal
Vibrate,Shake
Valiant,Brave
Vacant,Unoccupied
Comprehend,Understand
Adjourn,Postpone
Authenic,Genuine
Antagonize,oppose
Boastful,Braggy
Recent,Current
Swiftly,Quickly
Cease,Stop
Respectful,Polite
Ascend,Climb
Penetrate,Enter
Penalise,Punish
Celebration,Festivity
Motivate,Encourage
Shift,Move
Dumb,Stupid
Innovative,Inventive
