and,und
for,für
you,du
to say,sagen
but,aber
his,sein
not,nicht
she,sie
to can,können
who,wer
to get,bekommen
her,ihr
all,alles
one,eins
out,aus
to see,sehen
him,ihn
now,jetzt
how,wie
its,sein
our,unser
two,zwei
way,Weg
new,neu
English,Englisch
day,Tag
to use,benutzen
man,Mann
any,irgendein
may,Mai
to try,versuchen
to ask,fragen
too,auch
own,eigen
to put,legen
old,alt
why,warum
to let,lassen
big,groß
few,wenige
to run,laufen
off,weg von
a lot,viele
eye,Auge
job,Job
far,weit
yes,ja
to sit,sitzen
yet,noch
end,Ende
bad,schlecht
to pay,bezahlen
law,Gesetz
car,Auto
to set,einstellen
kid,Kind
long ago,lange her
to add,hinzufügen
art,Kunst
war,Krieg
low,niedrig
to win,gewinnen
guy,Kerl
air,Luft
boy,Junge
age,Alter
to buy,kaufen
to die,sterben
to cut,schneiden
six,sechs
son,Sohn
arm,Arm
tax,Steuer
to hit,schlagen
to eat,essen
oil,Öl
red,rot
top,Oberfläche
bed,Bett
hot,heiß
to lie,lügen
dog,Hund
cup,Tasse
box,Kiste
to lay,legen
sex,Geschlecht
to act,handeln
ten,zehn
gun,Gewehr
leg,Bein
to fly,fliegen
bit,bisschen
sea,Meer
bar,Stab
bag,Tasche
gas,Gas
Mrs,Frau
nor,und auch nicht
key,Schlüssel
sky,Himmel
fan,Ventilator
ice,Eis
sun,Sonne
ear,Ohr
to fit,passen
to cry,weinen
egg,Ei
bus,Bus
tie,Krawatte
map,Karte
to nod,nicken
to dry,trocknen
fat,Fett
lip,Lippe
mom,Mama
aid,Hilfe
to mix,mischen
cat,Katze
due,fällig
dad,Papa
fee,Gebühr
row,Reihe
to fix,festmachen
fun,Spaß
tip,Spitze
aim,Absicht
hat,Hut
gay,homosexuell
lab,Labor
gap,Abstand
sad,traurig
tea,Tee
pot,Topf
cap,Kappe
toy,Spielzeug
dig,Stoß
wet,nass
pan,Pfanne
to pop,platzen
mad,wütend
via,via
hip,Hüfte
bet,Wette
odd,seltsam
raw,roh
joy,Freude
tap,Wasserhahn
to rub,reiben
net,Netz
ill,krank
to owe,schulden
ski,Ski
to rid,befreien
cow,Kuh
etc,usw.
to sue,verklagen
jet,Düsenjet
God,Gott
nut,Nuss
to ban,verbieten
pet,Haustier
sin,Sünde
pie,Pastete
lap,Schoß
toe,Zeh
log,Aufzeichnungen
to beg,flehen
pig,Schwein
van,Transporter
bay,Bucht
rat,Ratte
hay,Heu
to rip,zerreißen
pen,Stift
mud,Schlamm
pad,Polster
bat,Fledermaus
sum,Summe
pit,Grube
hug,Umarmung
gym,Fitnessstudio
kit,Ausrüstung
pro,Profi
to bid,bieten
jaw,Kiefer
to bow,sich verbeugen
bug,Wanze
cab,Taxi
bee,Biene
jar,Krug
gut,Darm
pin,Nadel
dam,Deich
shy,schüchtern
oak,Eiche
to tag,markieren
dot,Tupfen
dip,Eintauchen
pat,Klaps
rib,Rippe
rod,Stange
ash,Asche
rim,Rand
lid,Deckel
fur,Fell
ego,Ego
spy,Spion
cue,Stichwort
fog,Nebel
to have,haben
that,das
with,mit
this,dies
they,sie
from,aus
what,was
to make,machen
to know,wissen
will,Wille
time,Zeit
year,Jahr
when,wann
them,ihnen
some,manche
to take,nehmen
into,in … hinein
just,gerade
your,dein
to come,kommen
than,als
to like,mögen
then,dann
more,mehr
to want,wollen
to look,schauen
also,außerdem
to find,finden
here,hier
to give,geben
many,viele
well,gesund
only,nur
to tell,erzählen
very,sehr
even,sogar
back,zurück
good,gut
life,Leben
to work,arbeiten
down,herunter
to call,rufen
over,über
last,letzter
to need,brauchen
to feel,fühlen
high,hoher
most,die meisten
much,viel
mean,gemein
to keep,behalten
same,derselbe
to seem,scheinen
to help,helfen
to talk,reden
to turn,drehen
hand,Hand
to show,zeigen
part,Teil
such,solcher
case,Fall
week,Woche
each,jeder
to hear,hören
to play,spielen
to move,bewegen
to live,leben
to hold,halten
next,nächster
to must,müssen
home,Zuhause
room,Zimmer
area,Bereich
fact,Tatsache
book,Buch
word,Wort
side,Seite
kind,nett
four,vier
head,Kopf
long,lang
both,beide
away,weg
hour,Stunde
game,Spiel
line,Linie
ever,je
to lose,verlieren
to meet,treffen
city,Stadt
name,Name
five,fünf
once,einmal
real,echt
team,Mannschaft
best,bester
idea,Idee
body,Körper
to lead,führen
to stop,anhalten
face,Gesicht
to read,lesen
door,Tür
sure,sicher
